time,barcode,count
2023-07-21T00:00:00.000-06:00,2,50284
2023-07-21T00:00:00.000-06:00,3,265
2023-07-21T00:00:00.000-06:00,4,144
2023-07-21T00:00:00.000-06:00,5,7405
2023-07-21T00:00:00.000-06:00,0.208333333,1
2023-07-21T00:00:00.000-06:00,112702,2
2023-07-21T00:00:00.000-06:00,140702,1
2023-07-21T00:00:00.000-06:00,318702,1
2023-07-21T00:00:00.000-06:00,535314,1
2023-07-21T00:00:00.000-06:00,580902,1
2023-07-21T00:00:00.000-06:00,686902,1
2023-07-21T00:00:00.000-06:00,707902,1
2023-07-21T00:00:00.000-06:00,716902,1
2023-07-21T00:00:00.000-06:00,745902,1
2023-07-21T00:00:00.000-06:00,798902,3
2023-07-22T00:00:00.000-06:00,2,41563
2023-07-22T00:00:00.000-06:00,3,207
2023-07-22T00:00:00.000-06:00,4,108
2023-07-22T00:00:00.000-06:00,5,6154
2023-07-22T00:00:00.000-06:00,112702,1
2023-07-22T00:00:00.000-06:00,380302,1
2023-07-22T00:00:00.000-06:00,399602,1
2023-07-22T00:00:00.000-06:00,446802,1
2023-07-22T00:00:00.000-06:00,448802,1
2023-07-22T00:00:00.000-06:00,507602,1
2023-07-22T00:00:00.000-06:00,603602,1
2023-07-22T00:00:00.000-06:00,611902,1
2023-07-22T00:00:00.000-06:00,707902,1
2023-07-22T00:00:00.000-06:00,716902,1
2023-07-22T00:00:00.000-06:00,744902,1
2023-07-22T00:00:00.000-06:00,760902,1
2023-07-23T00:00:00.000-06:00,2,35790
2023-07-23T00:00:00.000-06:00,3,196
2023-07-23T00:00:00.000-06:00,4,97
2023-07-23T00:00:00.000-06:00,5,4974
2023-07-23T00:00:00.000-06:00,1902,1
2023-07-23T00:00:00.000-06:00,112702,1
2023-07-23T00:00:00.000-06:00,139702,1
2023-07-23T00:00:00.000-06:00,448802,2
2023-07-23T00:00:00.000-06:00,555902,1
2023-07-23T00:00:00.000-06:00,560902,1
2023-07-23T00:00:00.000-06:00,672902,1
2023-07-23T00:00:00.000-06:00,686902,1
2023-07-23T00:00:00.000-06:00,687902,1
2023-07-23T00:00:00.000-06:00,744902,1
2023-07-23T00:00:00.000-06:00,798902,1
2023-07-24T00:00:00.000-06:00,2,115920
2023-07-24T00:00:00.000-06:00,3,665
2023-07-24T00:00:00.000-06:00,4,335
2023-07-24T00:00:00.000-06:00,5,16736
2023-07-24T00:00:00.000-06:00,1902,2
2023-07-24T00:00:00.000-06:00,6302,2
2023-07-24T00:00:00.000-06:00,41702,1
2023-07-24T00:00:00.000-06:00,84702,2
2023-07-24T00:00:00.000-06:00,111402,1
2023-07-24T00:00:00.000-06:00,112702,3
2023-07-24T00:00:00.000-06:00,142702,1
2023-07-24T00:00:00.000-06:00,145702,1
2023-07-24T00:00:00.000-06:00,32:400,1
2023-07-24T00:00:00.000-06:00,344802,1
2023-07-24T00:00:00.000-06:00,38:400,1
2023-07-24T00:00:00.000-06:00,444802,1
2023-07-24T00:00:00.000-06:00,446802,1
2023-07-24T00:00:00.000-06:00,480001,1
2023-07-24T00:00:00.000-06:00,508802,3
2023-07-24T00:00:00.000-06:00,555902,1
2023-07-24T00:00:00.000-06:00,579902,1
2023-07-24T00:00:00.000-06:00,580902,1
2023-07-24T00:00:00.000-06:00,603602,1
2023-07-24T00:00:00.000-06:00,643902,1
2023-07-24T00:00:00.000-06:00,649702,1
2023-07-24T00:00:00.000-06:00,672902,2
2023-07-24T00:00:00.000-06:00,707902,1
2023-07-24T00:00:00.000-06:00,715902,3
2023-07-24T00:00:00.000-06:00,716902,1
2023-07-24T00:00:00.000-06:00,745902,1
2023-07-24T00:00:00.000-06:00,760902,2
2023-07-24T00:00:00.000-06:00,880402,1
2023-07-24T00:00:00.000-06:00,890202,1
2023-07-24T00:00:00.000-06:00,:30002,1
2023-07-25T00:00:00.000-06:00,2,123497
2023-07-25T00:00:00.000-06:00,3,702
2023-07-25T00:00:00.000-06:00,4,359
2023-07-25T00:00:00.000-06:00,5,18564
2023-07-25T00:00:00.000-06:00,6302,1
2023-07-25T00:00:00.000-06:00,0.208333333,1
2023-07-25T00:00:00.000-06:00,0.569444444,1
2023-07-25T00:00:00.000-06:00,112702,3
2023-07-25T00:00:00.000-06:00,139702,1
2023-07-25T00:00:00.000-06:00,140702,2
2023-07-25T00:00:00.000-06:00,142702,1
2023-07-25T00:00:00.000-06:00,258802,1
2023-07-25T00:00:00.000-06:00,316205,1
2023-07-25T00:00:00.000-06:00,37:500,1
2023-07-25T00:00:00.000-06:00,445802,1
2023-07-25T00:00:00.000-06:00,446802,1
2023-07-25T00:00:00.000-06:00,448802,1
2023-07-25T00:00:00.000-06:00,486802,1
2023-07-25T00:00:00.000-06:00,507602,1
2023-07-25T00:00:00.000-06:00,508802,1
2023-07-25T00:00:00.000-06:00,528802,1
2023-07-25T00:00:00.000-06:00,538002,1
2023-07-25T00:00:00.000-06:00,579902,1
2023-07-25T00:00:00.000-06:00,611902,1
2023-07-25T00:00:00.000-06:00,632402,1
2023-07-25T00:00:00.000-06:00,643902,1
2023-07-25T00:00:00.000-06:00,672902,1
2023-07-25T00:00:00.000-06:00,706902,1
2023-07-25T00:00:00.000-06:00,715902,1
2023-07-25T00:00:00.000-06:00,716902,1
2023-07-25T00:00:00.000-06:00,744902,1
2023-07-25T00:00:00.000-06:00,745902,1
2023-07-25T00:00:00.000-06:00,780902,2
2023-07-25T00:00:00.000-06:00,798902,3
2023-07-26T00:00:00.000-06:00,2,121020
2023-07-26T00:00:00.000-06:00,3,716
2023-07-26T00:00:00.000-06:00,4,353
2023-07-26T00:00:00.000-06:00,5,18277
2023-07-26T00:00:00.000-06:00,1902,1
2023-07-26T00:00:00.000-06:00,6302,1
2023-07-26T00:00:00.000-06:00,0.402777778,1
2023-07-26T00:00:00.000-06:00,112702,3
2023-07-26T00:00:00.000-06:00,139702,1
2023-07-26T00:00:00.000-06:00,142702,2
2023-07-26T00:00:00.000-06:00,244802,1
2023-07-26T00:00:00.000-06:00,258802,1
2023-07-26T00:00:00.000-06:00,272502,1
2023-07-26T00:00:00.000-06:00,279502,1
2023-07-26T00:00:00.000-06:00,314203,1
2023-07-26T00:00:00.000-06:00,329305,1
2023-07-26T00:00:00.000-06:00,34:400,1
2023-07-26T00:00:00.000-06:00,417802,1
2023-07-26T00:00:00.000-06:00,445802,1
2023-07-26T00:00:00.000-06:00,499102,1
2023-07-26T00:00:00.000-06:00,528802,2
2023-07-26T00:00:00.000-06:00,539402,1
2023-07-26T00:00:00.000-06:00,545902,1
2023-07-26T00:00:00.000-06:00,555902,1
2023-07-26T00:00:00.000-06:00,560902,2
2023-07-26T00:00:00.000-06:00,625702,1
2023-07-26T00:00:00.000-06:00,643902,2
2023-07-26T00:00:00.000-06:00,672902,2
2023-07-26T00:00:00.000-06:00,680402,1
2023-07-26T00:00:00.000-06:00,686902,1
2023-07-26T00:00:00.000-06:00,687902,1
2023-07-26T00:00:00.000-06:00,707902,2
2023-07-26T00:00:00.000-06:00,715902,1
2023-07-26T00:00:00.000-06:00,759902,2
2023-07-26T00:00:00.000-06:00,798902,1
2023-07-26T00:00:00.000-06:00,880302,1
2023-07-26T00:00:00.000-06:00,:30002,1
2023-07-27T00:00:00.000-06:00,2,122137
2023-07-27T00:00:00.000-06:00,3,722
2023-07-27T00:00:00.000-06:00,4,342
2023-07-27T00:00:00.000-06:00,5,17936
2023-07-27T00:00:00.000-06:00,6302,1
2023-07-27T00:00:00.000-06:00,0.361111111,1
2023-07-27T00:00:00.000-06:00,112702,2
2023-07-27T00:00:00.000-06:00,140702,1
2023-07-27T00:00:00.000-06:00,144702,1
2023-07-27T00:00:00.000-06:00,298802,1
2023-07-27T00:00:00.000-06:00,333004,1
2023-07-27T00:00:00.000-06:00,445802,2
2023-07-27T00:00:00.000-06:00,446802,2
2023-07-27T00:00:00.000-06:00,45:300,1
2023-07-27T00:00:00.000-06:00,508802,1
2023-07-27T00:00:00.000-06:00,560902,1
2023-07-27T00:00:00.000-06:00,580902,1
2023-07-27T00:00:00.000-06:00,640402,1
2023-07-27T00:00:00.000-06:00,643902,3
2023-07-27T00:00:00.000-06:00,672902,2
2023-07-27T00:00:00.000-06:00,688702,1
2023-07-27T00:00:00.000-06:00,706902,3
2023-07-27T00:00:00.000-06:00,707902,1
2023-07-27T00:00:00.000-06:00,716902,1
2023-07-27T00:00:00.000-06:00,744902,2
2023-07-27T00:00:00.000-06:00,745902,1
2023-07-27T00:00:00.000-06:00,758202,1
2023-07-27T00:00:00.000-06:00,780902,2
2023-07-27T00:00:00.000-06:00,880002,1
2023-07-27T00:00:00.000-06:00,880402,2
2023-07-28T00:00:00.000-06:00,2,120251
2023-07-28T00:00:00.000-06:00,3,602
2023-07-28T00:00:00.000-06:00,4,355
2023-07-28T00:00:00.000-06:00,5,18299
2023-07-28T00:00:00.000-06:00,1902,3
2023-07-28T00:00:00.000-06:00,6302,2
2023-07-28T00:00:00.000-06:00,17702,1
2023-07-28T00:00:00.000-06:00,112702,8
2023-07-28T00:00:00.000-06:00,140702,2
2023-07-28T00:00:00.000-06:00,143702,1
2023-07-28T00:00:00.000-06:00,144702,1
2023-07-28T00:00:00.000-06:00,227502,1
2023-07-28T00:00:00.000-06:00,238802,2
2023-07-28T00:00:00.000-06:00,307802,1
2023-07-28T00:00:00.000-06:00,313303,1
2023-07-28T00:00:00.000-06:00,31:400,1
2023-07-28T00:00:00.000-06:00,326903,1
2023-07-28T00:00:00.000-06:00,416802,1
2023-07-28T00:00:00.000-06:00,417802,1
2023-07-28T00:00:00.000-06:00,444802,1
2023-07-28T00:00:00.000-06:00,47:400,1
2023-07-28T00:00:00.000-06:00,508802,1
2023-07-28T00:00:00.000-06:00,518602,1
2023-07-28T00:00:00.000-06:00,555902,1
2023-07-28T00:00:00.000-06:00,560902,1
2023-07-28T00:00:00.000-06:00,583602,1
2023-07-28T00:00:00.000-06:00,587902,2
2023-07-28T00:00:00.000-06:00,686902,1
2023-07-28T00:00:00.000-06:00,715902,1
2023-07-28T00:00:00.000-06:00,880402,1
2023-07-28T00:00:00.000-06:00,95:400,1
2023-07-29T00:00:00.000-06:00,2,44187
2023-07-29T00:00:00.000-06:00,3,241
2023-07-29T00:00:00.000-06:00,4,123
2023-07-29T00:00:00.000-06:00,5,6735
2023-07-29T00:00:00.000-06:00,68702,1
2023-07-29T00:00:00.000-06:00,112702,4
2023-07-29T00:00:00.000-06:00,143702,1
2023-07-29T00:00:00.000-06:00,445802,1
2023-07-29T00:00:00.000-06:00,446802,1
2023-07-29T00:00:00.000-06:00,531602,1
2023-07-29T00:00:00.000-06:00,545902,1
2023-07-29T00:00:00.000-06:00,716902,1
2023-07-29T00:00:00.000-06:00,760902,1
2023-07-29T00:00:00.000-06:00,880402,1
2023-07-30T00:00:00.000-06:00,2,34059
2023-07-30T00:00:00.000-06:00,3,222
2023-07-30T00:00:00.000-06:00,4,112
2023-07-30T00:00:00.000-06:00,5,5464
2023-07-30T00:00:00.000-06:00,1902,1
2023-07-30T00:00:00.000-06:00,112702,3
2023-07-30T00:00:00.000-06:00,238802,1
2023-07-30T00:00:00.000-06:00,39:500,1
2023-07-30T00:00:00.000-06:00,448802,1
2023-07-30T00:00:00.000-06:00,580902,1
2023-07-30T00:00:00.000-06:00,587902,1
2023-07-30T00:00:00.000-06:00,648702,1
2023-07-30T00:00:00.000-06:00,649702,1
2023-07-30T00:00:00.000-06:00,707902,1
2023-07-30T00:00:00.000-06:00,715902,1
2023-07-30T00:00:00.000-06:00,780902,1
2023-07-31T00:00:00.000-06:00,2,108176
2023-07-31T00:00:00.000-06:00,3,639
2023-07-31T00:00:00.000-06:00,4,360
2023-07-31T00:00:00.000-06:00,5,17725
2023-07-31T00:00:00.000-06:00,6302,1
2023-07-31T00:00:00.000-06:00,7802,1
2023-07-31T00:00:00.000-06:00,0.722222222,1
2023-07-31T00:00:00.000-06:00,112702,1
2023-07-31T00:00:00.000-06:00,140702,2
2023-07-31T00:00:00.000-06:00,142702,1
2023-07-31T00:00:00.000-06:00,307802,1
2023-07-31T00:00:00.000-06:00,330502,1
2023-07-31T00:00:00.000-06:00,344802,1
2023-07-31T00:00:00.000-06:00,430402,1
2023-07-31T00:00:00.000-06:00,446802,1
2023-07-31T00:00:00.000-06:00,555902,1
2023-07-31T00:00:00.000-06:00,580902,1
2023-07-31T00:00:00.000-06:00,643902,2
2023-07-31T00:00:00.000-06:00,657302,1
2023-07-31T00:00:00.000-06:00,670402,1
2023-07-31T00:00:00.000-06:00,707902,1
2023-07-31T00:00:00.000-06:00,715902,1
2023-07-31T00:00:00.000-06:00,716902,2
2023-07-31T00:00:00.000-06:00,745902,1
2023-07-31T00:00:00.000-06:00,880402,1
2023-08-01T00:00:00.000-06:00,2,117796
2023-08-01T00:00:00.000-06:00,3,729
2023-08-01T00:00:00.000-06:00,4,360
2023-08-01T00:00:00.000-06:00,5,18842
2023-08-01T00:00:00.000-06:00,1902,2
2023-08-01T00:00:00.000-06:00,6302,1
2023-08-01T00:00:00.000-06:00,0.208333333,1
2023-08-01T00:00:00.000-06:00,0.402777778,1
2023-08-01T00:00:00.000-06:00,41702,1
2023-08-01T00:00:00.000-06:00,0.597222222,1
2023-08-01T00:00:00.000-06:00,112702,4
2023-08-01T00:00:00.000-06:00,139702,1
2023-08-01T00:00:00.000-06:00,140702,4
2023-08-01T00:00:00.000-06:00,142702,1
2023-08-01T00:00:00.000-06:00,144702,1
2023-08-01T00:00:00.000-06:00,208702,1
2023-08-01T00:00:00.000-06:00,229502,1
2023-08-01T00:00:00.000-06:00,240002,1
2023-08-01T00:00:00.000-06:00,307802,1
2023-08-01T00:00:00.000-06:00,390502,1
2023-08-01T00:00:00.000-06:00,394802,1
2023-08-01T00:00:00.000-06:00,416802,1
2023-08-01T00:00:00.000-06:00,417802,1
2023-08-01T00:00:00.000-06:00,444802,1
2023-08-01T00:00:00.000-06:00,446802,1
2023-08-01T00:00:00.000-06:00,508802,2
2023-08-01T00:00:00.000-06:00,560902,2
2023-08-01T00:00:00.000-06:00,577602,1
2023-08-01T00:00:00.000-06:00,579902,1
2023-08-01T00:00:00.000-06:00,580902,1
2023-08-01T00:00:00.000-06:00,643902,2
2023-08-01T00:00:00.000-06:00,649702,1
2023-08-01T00:00:00.000-06:00,670402,2
2023-08-01T00:00:00.000-06:00,686902,1
2023-08-01T00:00:00.000-06:00,706902,1
2023-08-01T00:00:00.000-06:00,707902,1
2023-08-01T00:00:00.000-06:00,716902,1
2023-08-01T00:00:00.000-06:00,734902,1
2023-08-01T00:00:00.000-06:00,745902,1
2023-08-01T00:00:00.000-06:00,759902,3
2023-08-01T00:00:00.000-06:00,760902,1
2023-08-01T00:00:00.000-06:00,780902,1
2023-08-01T00:00:00.000-06:00,95:300,1
2023-08-01T00:00:00.000-06:00,:30002,2
2023-08-01T00:00:00.000-06:00,:3:400,1
2023-08-02T00:00:00.000-06:00,2,117256
2023-08-02T00:00:00.000-06:00,3,675
2023-08-02T00:00:00.000-06:00,4,374
2023-08-02T00:00:00.000-06:00,5,17228
2023-08-02T00:00:00.000-06:00,6302,2
2023-08-02T00:00:00.000-06:00,17702,1
2023-08-02T00:00:00.000-06:00,112702,2
2023-08-02T00:00:00.000-06:00,141702,1
2023-08-02T00:00:00.000-06:00,142702,1
2023-08-02T00:00:00.000-06:00,178702,1
2023-08-02T00:00:00.000-06:00,205502,1
